Firstname,male,female,occurrences
AADI,2,0,2
AADIL,2,0,3
AAISHA,0,2,5
AAKASH,9,0,16
AALAP,3,0,4
AALIYAH,0,22,34
AAMER,2,0,3
AAMIR,11,0,19
AAN,0,2,5
AARON,880,1,1706
AARTHI,0,4,5
AARTI,0,10,31
AASHISH,4,0,9
AASIM,5,0,6
AAYUSH,2,0,3
AB,7,2,15
ABA,1,3,8
ABAD,2,0,2
ABASS,2,0,2
ABAYOMI,4,0,5
ABBA,6,0,7
ABBAS,15,0,38
ABBE,0,14,32
ABBEY,4,36,78
ABBI,0,4,12
ABBIE,0,20,58
ABBIGAIL,0,2,3
ABBII,0,2,2
ABBIOLA,0,2,2
ABBOTT,1,1,3
ABBY,7,208,520
ABDALLA,4,0,5
ABDALLAH,3,0,6
ABDEL,18,0,24
ABDELRAHMAN,3,0,5
ABDER,2,0,2
ABDI,2,0,4
ABDIEL,9,0,13
ABDO,3,0,4
ABDOOL,2,0,4
ABDOU,6,0,10
ABDOUL,10,0,16
ABDOULAYE,11,0,17
ABDUL,110,1,152
ABDULAZIZ,5,0,7
ABDULLA,6,0,6
ABDULLAH,26,0,49
ABDULLAHI,3,0,5
ABDULLAI,2,0,2
ABDUL-QADIR,2,0,2
ABDULRAHMAN,5,0,7
ABDUR,5,0,7
ABDURRAHMAN,2,0,3
ABDUSSAMET,2,0,2
ABE,82,0,151
ABEBA,0,2,4
ABEDIN,3,0,3
ABEER,0,2,8
ABEL,57,0,88
ABELARDO,5,0,7
ABENA,0,24,38
ABEY,7,0,9
ABHA,0,5,9
ABHAY,7,0,17
ABHI,14,0,24
ABHIJEET,3,0,6
ABHIJIT,2,0,10
ABHILASH,9,0,10
ABHIMANYU,2,0,3
ABHINAV,14,0,21
ABHINAY,2,0,3
ABHISHEK,51,0,68
ABI,8,14,41
ABID,11,0,19
ABIDA,0,2,5
ABIDEMI,1,2,4
ABIE,19,2,41
ABIEL,3,0,5
ABIEZER,2,0,3
ABIGAIL,0,165,381
ABIGALE,0,3,6
ABIMAEL,3,0,5
ABIMBOLA,2,3,11
ABIN,2,0,3
ABIODUN,2,2,9
ABIOLA,0,10,24
ABIR,8,1,17
ABISHAI,3,0,4
ABISHEK,2,0,2
ABM,2,0,3
ABNER,11,0,14
ABO,2,0,4
ABOSEDE,0,2,2
ABOU,5,0,8
ABOUBACAR,2,0,6
ABRA,0,2,7
ABRAHAM,123,0,208
ABRAHAN,3,0,4
ABRAR,2,0,8
ABRIL,0,3,3
ABU,23,1,35
ABUBAKAR,5,0,7
ABUL,5,0,12
ABY,8,0,14
AC,8,3,22
ACACIA,0,3,13
ACE,41,1,70
ACHILLE,2,0,3
ACHILLES,11,0,14
ACHIM,2,0,3
ACHMED,3,0,3
ACHVA,2,0,2
ACHYUT,3,0,3
ACID,3,0,6
ACKEEM,2,0,3
ACKIM,2,0,2
ACOSTA,1,1,6
AD,4,3,10
ADA,2,85,169
ADAEZE,0,2,6
ADAH,0,4,6
ADAIR,0,4,7
ADALBERTO,12,0,17
ADALGISA,0,6,8
ADALISA,0,2,3
ADALIZ,0,3,3
ADAM,1802,4,3697
ADAMA,6,6,15
ADAMS,7,2,12
ADANA,0,4,7
ADANNA,0,9,14
ADAR,1,2,4
ADARA,0,4,4
ADARSH,2,0,5
ADASA,0,2,2
ADDAM,2,0,2
ADDI,2,1,6
ADDIE,1,16,40
ADDIS,4,2,9
ADDISON,11,2,26
ADDY,6,14,32
ADE,21,6,51
ADEBAYO,8,1,14
ADEBISI,2,1,4
ADEBOLA,0,3,7
ADEDAYO,3,1,7
ADEDOTUN,3,0,4
ADEEB,2,0,3
ADEEL,17,0,29
ADEGBOYEGA,3,0,3
ADEINA,0,2,2
ADEJOKE,0,3,4
ADEKEMI,1,1,4
ADEKUNLE,8,0,9
ADEL,21,4,54
ADELA,1,18,41
ADELAIDA,0,10,14
ADELAIDE,0,11,22
ADELE,0,72,133
ADELEKE,2,0,3
ADELIA,0,2,3
ADELINA,0,21,35
ADELINE,0,21,42
ADELLE,0,4,8
ADELSO,3,0,5
ADEM,17,0,21
ADEMOLA,7,0,9
ADEN,0,2,7
ADENA,0,11,24
ADENIKE,0,5,12
ADENIYI,3,0,8
ADEOLA,4,8,25
ADEPEJU,0,3,4
ADESH,2,0,3
ADESINA,1,1,2
ADESOJI,2,0,3
ADESOLA,1,2,3
ADETOLA,1,1,3
ADETOUN,0,3,3
ADETUNJI,2,0,3
ADEWALE,7,1,14
ADEY,2,0,3
ADEYEMI,5,1,8
ADEYINKA,3,2,6
ADHAM,8,0,10
ADI,22,31,101
ADIANA,0,2,3
ADIANEZ,0,2,2
ADIB,4,0,5
ADIE,1,1,6
ADIEL,6,0,7
ADIKA,3,0,4
ADIL,24,0,42
ADILSON,2,0,2
ADIN,3,0,8
ADINA,0,48,121
ADINAH,0,2,2
ADINE,0,2,4
ADIR,5,0,9
ADIRA,0,3,3
ADIS,5,2,10
ADISA,3,4,10
ADISON,4,1,6
ADIT,3,1,7
ADITI,1,15,38
ADITTO,2,0,2
ADITYA,31,0,64
ADJANAYE,0,2,2
ADJOA,0,6,8
ADJUA,0,2,2
ADLER,4,0,7
ADMIR,10,0,11
ADNAN,43,0,83
ADNANE,4,0,4
ADOLF,3,0,3
ADOLFO,37,0,52
ADOLPH,4,0,5
ADOLPHUS,4,0,6
ADON,3,0,6
ADONAI,3,2,6
ADONI,2,0,3
ADONIA,0,3,5
ADONIJAH,3,0,3
ADONIS,24,3,44
ADONNA,0,2,3
ADORA,0,5,9
ADORE,0,2,2
ADREA,0,2,2
ADREAN,1,1,3
ADREANA,0,2,4
ADRENA,0,3,4
ADRI,1,4,11
ADRIA,0,7,31
ADRIAAN,3,0,6
ADRIANA,1,255,503
ADRIANE,0,21,33
ADRIANN,1,1,2
ADRIANNA,0,32,76
ADRIANNE,0,36,74
ADRIANO,22,0,34
ADRIATIK,2,0,2
ADRIEAN,2,0,2
ADRIEL,7,1,18
ADRIELLE,0,2,6
ADRIEN,28,5,62
ADRIENA,0,2,2
ADRIENE,1,5,7
ADRIENNE,0,250,510
ADRINA,0,2,4
ADRION,2,0,4
ADRIS,1,1,2
ADRIÁN,416,34,785
ADUNNI,0,2,2
ADVA,0,4,6
ADWOA,0,6,12
ADY,3,7,12
ADÁN,11,0,18
AE,1,1,4
AEISHA,0,3,6
AERIEL,0,2,2
AERIN,0,3,4
AESHA,0,3,3
AFA,2,0,2
AFAQ,2,0,2
AFEISHA,0,3,4
AFESHIA,0,2,2
AFFAN,3,0,7
AFIA,0,3,11
AFIFA,0,2,3
AFIYA,0,11,20
AFONSO,3,0,3
AFRAZ,4,0,5
AFREEN,0,2,4
AFRIKAN,1,1,3
AFRIM,3,0,7
AFRODITI,0,2,3
AFRON,2,0,2
AFROZA,0,2,2
AFSANA,0,5,10
AFSER,1,1,2
AFSHAN,0,5,14
AFSHEEN,1,2,5
AFSHIN,4,0,10
AFTON,0,6,8
AFUA,0,5,11
AFZAL,4,0,5
AG,4,2,8
AGA,1,7,12
AGAM,2,0,3
AGAPI,0,2,3
AGATA,0,27,54
AGATHA,0,11,34
AGATHE,0,7,16
AGGIE,0,14,29
AGGREY,2,0,2
AGI,1,6,10
AGIM,7,0,13
AGNE,0,3,3
AGNESE,0,6,8
AGNIESZKA,0,41,88
AGNÈS,0,105,192
AGOSTINHO,2,0,2
AGOSTINO,6,0,8
AGRON,18,0,27
AGUNG,2,0,2
AGUS,9,1,12
AGUSTINA,0,3,13
AGUSTINUS,2,0,3
AGUSTÍN,30,0,49
AGYEI,3,0,4
AGYEMANG,2,0,2
AH,5,6,16
AHAD,2,0,6
AHAMED,5,0,6
AHARON,10,0,18
AHKEEM,3,0,3
AHLAM,0,2,3
AHLEM,0,3,4
AHMAAD,2,0,2
AHMAD,89,1,143
AHMADOU,3,0,3
AHMADU,2,0,2
AHMAR,2,0,4
AHMED,198,0,352
AHMER,2,0,2
AHMET,47,0,65
AHN,0,2,3
AHNA,0,2,4
AHRAM,0,3,3
AHREUM,0,2,3
AHRON,5,0,6
AHSAN,17,0,32
AHSEN,1,1,2
AHUVA,0,12,22
AHYOUNG,0,4,7
AI,2,22,42
AICH,1,1,2
AICHA,0,7,11
AIDA,0,131,213
AIDAN,44,3,94
AIDE,0,4,4
AIDEE,0,2,3
AIDEN,18,2,31
AIESHA,0,13,21
AIFUWA,2,0,2
AIKO,1,8,19
AILED,0,2,2
AILEEN,0,91,191
AILENE,0,2,5
AILI,0,2,6
AILIE,0,2,3
AILSA,0,4,7
AILYN,0,5,6
AIM,3,1,5
AIMA,0,2,3
AIMAN,3,0,4
AIME,0,2,3
AIMEE,1,118,322
AIN,1,1,6
AINA,0,5,8
AINE,0,4,7
AINSLEY,8,5,22
AINSWORTH,6,0,7
AINURA,0,2,2
AIR,2,0,8
AIRAM,2,2,4
AIREEN,0,2,3
AISH,2,1,6
AISHA,0,164,301
AISHAH,0,7,11
AISHIA,0,2,3
AISLING,0,8,24
AISLINN,0,6,15
AISLYN,0,2,2
AISSA,2,2,4
AISSATA,0,2,3
AISSATOU,0,2,6
AITANA,0,2,3
AITOR,3,0,5
AIXA,0,12,22
AIYANA,0,2,6
AIYSHA,0,6,6
AIZA,0,3,6
AIZHAN,0,3,4
AJ,127,10,268
AJA,0,36,76
AJAI,2,0,3
AJALA,1,1,2
AJAMU,6,0,10
AJANI,7,0,17
AJANTHA,1,1,2
AJAX,4,0,4
AJAY,59,0,103
AJDIN,3,0,4
AJENE,3,1,5
AJI,1,1,2
AJIRI,0,2,2
AJIT,11,0,24
AJITH,9,0,9
AJIWOKEWU,1,1,2
AJMAL,3,0,6
AJOY,3,0,4
AJU,2,0,2
AK,8,1,13
AKAI,1,1,3
AKANE,0,9,15
AKANKSHA,0,4,5
AKARI,0,3,7
AKASH,26,0,46
AKASHA,0,2,4
AKBAR,11,0,19
AKEDA,0,2,2
AKEELAH,0,2,2
AKEEM,64,1,100
AKEEN,3,0,3
AKEILA,0,2,2
AKEIM,2,0,2
AKEISHA,0,2,7
AKELA,0,3,6
AKELIA,0,2,2
AKEMI,0,7,14
AKENO,1,1,2
AKEYA,0,2,3
AKHI,1,1,3
AKHIL,9,0,22
AKHTAR,2,0,3
AKI,5,18,50
AKIA,0,6,9
AKIB,2,0,2
AKIBA,1,1,4
AKIDA,1,1,3
AKIF,2,0,6
AKIHIRO,8,0,9
AKIKO,0,35,70
AKIL,33,1,48
AKILA,0,5,6
AKILAH,0,21,39
AKILI,3,0,4
AKIM,10,0,16
AKIN,21,0,33
AKINA,0,3,5
AKINDELE,2,0,2
AKINOBU,3,0,3
AKINOLA,3,0,3
AKINYELE,2,0,4
AKIO,1,1,6
AKIRA,18,8,39
AKIS,6,0,8
AKISHA,0,4,4
AKITA,1,2,5
AKITO,2,0,2
AKIVA,16,1,30
AKKO,0,2,2
AKM,5,0,5
AKON,2,0,2
AKOSUA,0,7,18
AKRAM,6,0,16
AKSANA,0,2,4
AKSHAT,4,0,9
AKSHAY,21,0,40
AKSOY,2,0,2
AKTAR,1,1,3
AKUA,0,15,29
AKUMA,2,0,2
AKWASI,9,0,13
AL,356,9,578
AL-,2,0,2
ALA,1,1,6
ALAA,5,3,16
ALABA,1,1,2
ALADDIN,2,0,3
ALADINO,2,0,2
ALAFIA,0,2,2
ALAIN,68,2,113
ALAINA,0,27,62
ALAINE,0,5,8
ALAMGIR,4,0,6
ALAMIN,2,0,4
ALAN,759,0,1331
ALANA,0,132,323
ALAND,2,0,3
ALANDA,0,2,2
ALANE,1,8,10
ALANI,1,1,4
ALANNA,0,55,120
ALANNAH,0,5,6
ALANZO,4,0,5
ALARA,0,2,5
ALARIC,7,0,9
ALASDAIR,2,0,3
ALASHA,0,2,2
ALASIA,0,2,3
ALASKAN,0,2,2
ALASSANE,4,0,4
ALASTAIR,5,0,15
ALATHEA,0,3,3
ALAYNA,0,4,10
ALAYNE,0,2,6
ALB,1,1,2
ALBA,0,54,105
ALBAN,9,0,21
ALBANA,0,8,14
ALBANE,0,3,4
ALBANIA,1,6,15
ALBANO,2,0,3
ALBEE,2,6,10
ALBEIRO,3,0,4
ALBEN,2,0,3
ALBENA,0,2,3
ALBERT,429,2,765
ALBERTA,0,14,27
ALBERTE,0,2,2
ALBERTHA,0,3,5
ALBERTINA,0,4,6
ALBERTO,285,1,417
ALBI,6,0,7
ALBIE,2,0,5
ALBIN,5,1,8
ALBINA,0,14,21
ALBINO,4,0,5
ALBION,6,0,7
ALBITA,0,2,2
ALBO,1,1,3
ALBUS,2,0,4
ALBY,2,0,6
ALCI,2,0,3
ALCIAN,1,1,2
ALCIBIADES,2,0,2
ALCIDES,7,0,11
ALDA,0,4,7
ALDANA,1,2,4
ALDEN,18,0,31
ALDER,1,1,3
ALDI,4,0,5
ALDIN,3,0,6
ALDITH,0,2,2
ALDO,62,0,90
ALDON,3,0,4
ALDONA,0,3,7
ALDOUS,2,0,3
ALDRIC,2,0,2
ALDRIN,7,0,15
ALDWIN,3,0,5
ALE,11,11,40
ALEA,0,6,12
ALEAH,0,4,7
ALEANE,0,2,2
ALEASE,0,2,2
ALEC,88,1,173
ALECIA,0,30,63
ALEEM,5,0,10
ALEEN,0,5,7
ALEENA,0,3,9
ALEESHA,0,2,9
ALEGRIA,0,2,3
ALEICIA,0,3,3
ALEIDA,0,6,11
ALEIKA,0,2,2
ALEISHA,0,3,7
ALEISTER,2,0,2
ALEJANDRA,0,104,194
ALEJANDRINA,0,4,5
ALEJANDRO,208,0,371
ALEJITA,0,2,2
ALEJO,3,0,8
ALEK,7,0,21
ALEKA,0,3,6
ALEKS,17,3,37
ALEKSANDAR,21,0,43
ALEKSANDER,15,0,19
ALEKSANDR,35,0,58
ALEKSANDRA,0,52,125
ALEKSEI,3,0,4
ALEKSEY,24,0,46
ALELI,0,2,4
ALEN,27,0,43
ALENA,0,38,76
ALENE,0,4,5
ALESANDRA,0,2,6
ALESE,0,2,5
ALESHA,0,13,23
ALESHIA,0,5,8
ALESI,2,0,2
ALESIA,0,16,29
ALESSA,0,3,8
ALESSANDRA,0,63,150
ALESSANDRO,67,0,128
ALESSIA,0,11,35
ALESSIO,13,0,19
ALETA,0,6,12
ALETH,0,2,2
ALETHA,0,2,5
ALETHEA,0,9,18
ALETHIA,0,4,10
ALEV,0,3,7
ALEVTINA,0,2,5
ALEX,2203,205,4971
ALEXA,0,154,378
ALEXANDAR,3,0,4
ALEXANDER,702,2,1241
ALEXANDR,6,0,8
ALEXANDRA,1,606,1453
ALEXANDRE,56,1,112
ALEXANDREA,0,7,11
ALEXANDRIA,0,73,158
ALEXANDRINE,0,4,4
ALEXANDRO,3,0,5
ALEXANDROS,12,0,20
ALEXANDRU,15,0,22
ALEXCIA,0,3,4
ALEXEI,14,1,25
ALEXEY,23,0,30
ALEXI,10,3,32
ALEXIA,1,44,95
ALEXIE,5,1,10
ALEXIS,120,377,1092
ALEXSA,0,5,7
ALEXSANDRA,0,4,8
ALEXUS,1,6,13
ALEXY,4,0,4
ALEXYS,0,2,3
ALEXYZ,2,0,2
ALEXZA,0,2,3
ALEXZANDRA,0,2,2
ALEYA,0,3,4
ALEYDA,0,3,5
ALF,4,0,6
ALFA,3,2,6
ALFAZ,2,0,2
ALFI,3,1,4
ALFIA,0,2,3
ALFIE,12,1,18
ALFINA,0,2,2
ALFIO,5,0,5
ALFONSE,2,0,6
ALFONSINA,0,5,7
ALFONSO,91,1,144
ALFONZO,5,0,12
ALFRED,154,1,250
ALFREDA,0,4,7
ALFREDO,150,0,223
ALGENIS,2,0,3
ALGER,2,0,4
ALGERNON,5,1,9
ALGIS,2,0,2
ALHAJI,3,0,3
ALHAN,2,0,2
ALHASSAN,2,0,2
ALI,308,151,1056
ALIA,0,29,59
ALIAH,0,4,8
ALICA,0,4,5
ALICAN,4,0,8
ALICE,0,405,832
ALICEA,0,2,2
ALICEN,0,4,8
ALICIA,0,594,1170
ALICJA,0,12,23
ALICYN,0,4,4
ALIDA,0,21,38
ALIE,0,4,9
ALIEU,4,0,5
ALIF,2,0,2
ALII,0,2,3
ALIJAH,2,0,3
ALIK,2,0,3
ALIKA,1,3,6
ALIKI,0,2,7
ALIKO,3,0,3
ALIM,3,0,7
ALIN,6,4,12
ALINA,0,95,236
ALINE,0,29,49
ALIONA,0,4,5
ALIOUNE,6,0,10
ALIREZA,5,0,15
ALIS,0,2,7
ALISA,0,106,262
ALISABETH,0,2,2
ALISE,0,16,21
ALISEN,0,2,2
ALISHA,0,109,195
ALISHER,2,0,5
ALISHIA,0,3,5
ALISIA,0,7,9
ALISON,2,430,1093
ALISSA,0,77,223
ALISSON,2,5,11
ALISTAIR,10,0,18
ALISTER,5,0,6
ALITA,0,5,12
ALIVIA,0,3,5
ALIX,22,37,109
ALIXANDRA,0,3,7
ALIYA,0,19,47
ALIYAH,0,15,26
ALIZA,0,47,123
ALIZAH,0,3,5
ALIZE,0,5,8
ALKA,1,8,20
ALKETA,0,2,5
ALL,7,6,24
ALLA,1,65,141
ALLADIN,2,0,2
ALLAH,2,0,3
ALLAIN,2,0,3
ALLAN,213,0,339
ALLANA,0,7,17
ALLANAH,0,2,3
ALLE,1,2,5
ALLEGRA,0,24,65
ALLEGRIA,0,2,2
ALLEL,2,0,3
ALLEN,303,4,537
ALLENE,0,2,4
ALLEY,0,8,12
ALLEYNE,1,2,5
ALLI,3,24,86
ALLIAH,0,2,5
ALLIE,4,90,274
ALLIS,0,2,4
ALLISEN,0,4,4
ALLISON,1,622,1627
ALLISTAIR,3,0,3
ALLISTER,9,0,15
ALLIYAH,0,2,5
ALLON,7,0,12
ALLONS,2,0,2
ALLY,6,69,169
ALLYN,6,5,17
ALLYSA,0,2,4
ALLYSHA,0,2,3
ALLYSON,1,83,192
ALLYSSA,0,5,9
ALMA,0,84,152
ALMAMY,3,0,4
ALMARIE,0,2,2
ALMAZ,1,1,3
ALMEDINA,0,3,3
ALMIR,4,0,7
ALMIRA,0,6,13
ALMOG,2,1,7
ALMOND,1,1,2
ALMOST,1,1,2
ALMUDENA,0,2,2
ALO,2,0,2
ALOK,13,0,24
ALON,40,0,82
ALONA,0,16,27
ALONDRA,0,12,20
ALONSO,10,0,19
ALONZA,4,0,4
ALONZO,27,0,43
ALOYSIUS,3,0,5
ALP,9,0,12
ALPA,1,3,13
ALPANA,0,4,7
ALPER,13,0,35
ALPEREN,2,0,2
ALPESH,6,0,7
ALPHA,7,4,22
ALPHAA,2,0,3
ALPHONSE,14,0,19
ALPHONSO,16,0,28
ALPHONZO,2,0,2
ALRICK,3,0,5
ALSTON,5,1,11
ALTA,0,4,9
ALTAF,9,0,12
ALTAGRACE,0,2,3
ALTAGRACIA,0,18,24
ALTAN,3,0,4
ALTER,2,0,2
ALTHEA,0,64,108
ALTHIA,0,4,6
ALTIA,0,2,2
ALTIN,6,0,8
ALTON,25,0,41
ALTOVISE,0,2,3
ALUKO,2,0,4
ALUN,2,0,4
ALVA,2,4,11
ALVARADO,2,1,3
ALVAREZ,2,1,6
ALVARO,78,0,134
ALVI,2,0,3
ALVIDA,0,3,3
ALVIN,186,0,293
ALVINA,0,6,14
ALVINO,3,0,3
ALVIS,3,0,5
ALVISE,2,0,3
ALVONYA,0,2,2
ALWIN,3,0,7
ALWYN,7,1,11
ALX,2,0,4
ALY,13,19,79
ALYCE,0,18,25
ALYCIA,0,8,25
ALYN,1,2,6
ALYNNE,0,2,2
ALYONA,0,10,15
ALYSA,0,9,22
ALYSE,0,23,53
ALYSHA,0,17,34
ALYSIA,0,7,22
ALYSON,0,64,186
ALYSSA,0,311,808
ALYSSE,0,2,3
ALYSSIA,0,5,8
ALYX,1,2,7
ALYXANDRIA,0,2,2
AMA,3,12,29
AMAAL,0,2,2
AMAALA,0,2,2
AMAD,3,0,3
AMADA,0,7,11
AMADEO,2,0,3
AMADEUS,4,0,4
AMADI,2,2,7
AMADO,12,0,16
AMADOR,4,0,7
AMADOU,13,1,18
AMADU,4,0,6
AMAIR,2,0,2
AMAKA,0,4,10
AMAL,6,13,37
AMALA,1,3,8
AMALFI,0,4,8
AMALIA,0,33,71
AMALIE,0,3,10
AMAN,27,4,63
AMANDA,4,1461,3513
AMANDEEP,12,5,29
AMANDINE,0,8,15
AMANI,1,8,21
AMANO,1,1,2
AMANY,0,3,4
AMAR,47,5,78
AMARA,3,8,19
AMARACHI,0,4,5
AMARDEEP,3,1,8
AMARI,5,3,12
AMARIE,0,2,3
AMARILDO,2,0,4
AMARILIS,0,14,22
AMARILYS,0,3,6
AMARIS,0,8,21
AMARJIT,4,0,7
AMAURI,6,0,9
AMAURIS,4,0,8
AMAURY,31,1,51
AMAURYS,5,0,6
AMAYA,0,2,8
AMAZIN,2,0,3
AMBA,1,1,2
AMBAR,0,12,25
AMBER,1,268,584
AMBERLY,0,3,5
AMBERLYNN,0,3,4
AMBI,2,0,3
AMBIKA,0,11,25
AMBRA,0,2,4
AMBRE,0,2,5
AMBREEN,0,2,9
AMBROSE,12,0,19
AMBROSIA,0,2,2
AMDY,2,0,2
AME,0,3,6
AMECHI,3,0,3
AMEDEO,6,0,11
AMEEN,3,0,5
AMEENA,0,4,6
AMEENAH,0,2,2
AMEER,16,0,27
AMEERA,0,5,8
AMEERAH,0,2,2
AMEET,7,0,11
AMEETA,0,2,3
AMEIKA,0,2,2
AMEL,2,3,11
AMELA,0,4,9
AMELIA,1,132,282
AMELIE,0,17,33
AMEN,4,1,5
AMENA,0,6,10
AMER,9,0,20
AMERA,0,2,2
AMERICA,0,5,17
AMERICO,10,0,13
AMERIE,0,3,5
AMES,2,2,8
AMESHA,0,4,4
AMETHYST,0,2,7
AMEY,0,4,5
AMEYA,5,0,9
AMGAD,3,0,7
AMI,13,47,114
AMIA,0,3,4
AMICA,0,2,2
AMICHAI,2,0,3
AMIE,0,37,78
AMIEE,0,4,7
AMIEL,2,1,8
AMIKA,0,3,4
AMIL,3,0,7
AMILA,3,2,8
AMILCAR,8,0,13
AMIN,26,0,47
AMINA,0,49,100
AMINAH,0,4,10
AMINATA,0,9,18
AMINE,22,0,35
AMINTA,0,2,4
AMINU,4,0,5
AMIR,126,1,215
AMIRA,0,23,44
AMIRAH,0,6,15
AMIRAN,1,1,2
AMIRH,0,2,2
AMIRI,2,0,2
AMISH,12,0,19
AMISHA,0,6,12
AMIT,160,2,292
AMITA,0,9,16
AMITAI,5,0,6
AMITAVA,2,0,2
AMITY,0,2,8
AMIYA,2,0,3
AMJAD,11,0,13
AMMA,0,7,12
AMMAR,17,0,29
AMMO,2,1,3
AMMON,3,0,7
AMMY,0,5,6
AMNA,0,12,17
AMNON,6,0,8
AMO,3,1,4
AMOGH,2,0,2
AMOL,10,0,17
AMON,3,0,5
AMOR,4,3,11
AMORE,1,2,4
AMORY,2,1,8
AMOS,24,1,43
AMOY,0,9,15
AMP,1,1,3
AMPARO,0,11,19
AMPY,1,1,2
AMR,29,0,42
AMRA,0,2,8
AMRAM,3,0,5
AMRAN,3,0,4
AMREEN,0,2,6
AMRIK,3,0,4
AMRINDER,2,0,4
AMRISH,2,0,4
AMRIT,12,3,23
AMRITA,0,19,46
AMRO,2,0,5
AMRUTA,0,3,5
AMUN,2,0,2
AMY,2,1429,3581
AMYN,2,0,5
AMZAD,2,0,3
AN,5,6,25
ANA,2,788,1474
ANABEL,0,32,58
ANABELA,0,2,5
ANABELL,0,4,8
ANABELLA,0,6,8
ANABELLE,0,6,13
ANAEL,1,1,4
ANAGHA,0,2,3
ANAHI,0,4,6
ANAHIS,0,2,2
ANAIDA,0,3,4
ANAIKA,0,2,3
ANAIS,0,28,49
